replicate,mt_raw_mean_tv,y_raw_mean_tv,delta_y_minus_mt_raw,mt_noise_floor_subtracted_mean_tv,y_noise_floor_subtracted_mean_tv,delta_y_minus_mt_noise_floor_subtracted,mt_parametric_bias_corrected_mean_tv,y_parametric_bias_corrected_mean_tv,delta_y_minus_mt_parametric_bias_corrected
30,0.6332183972490094,0.4603306982133512,-0.1728876990356582,0.193622003830531,0.15537357319667797,-0.038248430633853026,0.3920179868660784,0.34729550333303244,-0.044722483533045976
31,0.6133380624977264,0.45459293765353037,-0.158745124844196,0.1969832293245581,0.1532918327729816,-0.0436913965515765,0.3725797633460663,0.34155774277321144,-0.031022020572854858
32,0.5765542328042328,0.44839616402116406,-0.12815806878306873,0.13534205565559554,0.1476761821951003,0.012334126539504747,0.33535382242130174,0.3353609691408452,7.1467195434382624e-06
33,0.5729411461554318,0.4503581735724593,-0.12258297258297252,0.12899320151040214,0.14198770105011702,0.012994499539714877,0.3317407357725008,0.3373229786921405,0.005582242919639713
34,0.5454314204314203,0.4702526309669167,-0.07517878946450363,0.14232122573485498,0.1814705442176871,0.039149318482832124,0.3153152569218961,0.35721743608659784,0.041902179164701736
35,0.6698759798759798,0.5142513942513942,-0.1556245856245856,0.22480718566385052,0.20588092172905195,-0.01892626393479857,0.42867556949304875,0.4012161993710754,-0.02745937012197336
36,0.5363212654407393,0.43157726858859485,-0.10474399685214447,0.1078473899183081,0.1359302991510614,0.028082909232753292,0.2951208550578083,0.318542073708276,0.0234212186504677
37,0.616087962962963,0.5150694444444444,-0.10101851851851862,0.17101916875083364,0.21327033435596462,0.04225116560513098,0.37488755258003187,0.40203424956412553,0.027146696984093666
38,0.5513966192537622,0.3938554501054501,-0.15754116914831207,0.1118220405483483,0.09269066541379571,-0.019131375134552583,0.3101962088708311,0.2808202552251314,-0.029375953645699726
39,0.5543917887667887,0.39383267195767196,-0.16055911680911678,0.10932299455465948,0.11790301776266063,0.00858002320800115,0.3131913783838578,0.2807974770773531,-0.03239390130650471
40,0.6282847801259132,0.5047524002634841,-0.12353237986242904,0.1843325443553423,0.19704055619252234,0.012708011837180039,0.3870843697429821,0.3917172053831652,0.004632835640183075
41,0.6361774399368384,0.4671978710512545,-0.1689795688855839,0.19110864572470915,0.16489016231863865,-0.026218483406070497,0.39497702955390734,0.35416267617093566,-0.04081435338297168
42,0.5874023683547492,0.4662068531116151,-0.12119551524313416,0.14700361382515967,0.15783638058927277,0.0108327667641131,0.34620195797181824,0.3531716582312962,0.006969700259477962
43,0.5870252763109906,0.43599262057908666,-0.1510326557319039,0.14937757903763682,0.14677213572698536,-0.002605443310651462,0.3458248659280595,0.3229574256987679,-0.022867440229291602
44,0.656163677592249,0.4913980364873222,-0.1647656411049268,0.21329369290392922,0.19604460600907028,-0.017249086894858934,0.41496326720931803,0.3783628416070034,-0.036600425602314635
45,0.5288768495613734,0.33287738496071834,-0.19599946460065504,0.09284317439686314,0.07509010977118123,-0.017753064625681908,0.2876764391784423,0.22010191571502777,-0.06757452346341455
46,0.5886908244051101,0.5107878518592804,-0.07790297254582967,0.14492067815216456,0.21394017557705577,0.06901949742489122,0.3474904140221792,0.39775265697896156,0.05026224295678239
47,0.6223983745545001,0.48321783729236184,-0.13918053726213825,0.17732958034237084,0.17967438810566966,0.0023448077632988173,0.3811979641715691,0.37018264241204296,-0.011015321759526131
48,0.6053550170068026,0.4731065759637187,-0.13224844104308392,0.1701149926359433,0.17360740896358534,0.0034924163276420506,0.36415460662387167,0.3600713810833999,-0.004083225540471747
49,0.6296390778533636,0.3680839002267574,-0.2615551776266062,0.20338593840313904,0.09778594921301854,-0.1055999891901205,0.38843866747043254,0.2559100907945808,-0.13252857667585172
50,0.6052366369253015,0.4319415278188569,-0.17329510910644458,0.16534284271317226,0.13553070374526624,-0.02981213896790602,0.3640362265423705,0.3189063329385382,-0.045129893603832294
51,0.5629912172205406,0.4172401602852731,-0.14575105693526746,0.12131170872269693,0.13212925809398723,0.0108175493712903,0.3217908068376095,0.30420496540495423,-0.01758584143265529
52,0.5885207762758783,0.5544762493742085,-0.034044526901669814,0.1456507915875585,0.24610577685186621,0.10045498526430771,0.3473203658929473,0.44144105449388965,0.09412068860094236
53,0.6854772211915068,0.499618635332921,-0.18585858585858578,0.24801849191444253,0.19124816281057871,-0.056770329103863815,0.44427681080857584,0.38658344045260223,-0.057693370355973606
54,0.5780945419103313,0.4675927169113259,-0.11050182499900535,0.13443764201733321,0.2029619463340892,0.06852430431675599,0.3368941315274003,0.3545575220310071,0.017663390503606824
55,0.5921923314780457,0.45193733793357854,-0.1402549935444672,0.16462846923870558,0.1527135573203231,-0.011914911918382481,0.35099192109511473,0.33890214305325966,-0.01208977804185507
56,0.5268263608996367,0.4399236515400308,-0.08690270935960592,0.08698605544412123,0.14691981440921892,0.059933758965097686,0.28562595051670575,0.326888456659712,0.04126250614300625
57,0.5373151539818206,0.4162048048952811,-0.1211103490865395,0.1016933151753968,0.12890254132318563,0.027209226147788826,0.2961147435988897,0.30316961001496223,0.007054866416072558
58,0.5822063622815501,0.40608952451057717,-0.17611683777097292,0.1512411394979924,0.1055607136449231,-0.04568042585306929,0.34100595189861915,0.2930543296302583,-0.04795162226836086
