marker,minimum_calls,time_group,n_profiles,n_sites,n_calls,U,H,T,HV,J,C,D,W,A,I,R,Other,F,K,N,G,M,Q,Basal/unresolved,E,L
mtDNA,2,E1 -3500 to -3001 CE-axis,4,4,30,0.11904761904761904,0.10714285714285714,0.023809523809523808,0.21428571428571427,0.047619047619047616,0.0,0.0,0.08333333333333333,0.0,0.14285714285714285,0.09523809523809523,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,0.0,,,,
mtDNA,2,E2 -3000 to -2501 CE-axis,3,3,14,0.14814814814814814,0.1851851851851852,0.0,0.3333333333333333,0.2222222222222222,0.07407407407407407,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
mtDNA,2,E3 -2500 to -2001 CE-axis,2,2,37,0.33571428571428574,0.02857142857142857,0.02857142857142857,0.08571428571428572,0.05714285714285714,0.0,0.0,0.08571428571428572,0.0,0.2642857142857143,0.05714285714285714,0.0,0.0,0.0,0.04285714285714286,0.0,0.014285714285714285,,,,
mtDNA,2,E4 -2000 to -1501 CE-axis,15,15,77,0.3236772486772487,0.12253968253968253,0.2612962962962963,0.06947089947089946,0.07563492063492064,0.0,0.0,0.01619047619047619,0.0,0.0047619047619047615,0.027777777777777776,0.008333333333333333,0.0,0.04365079365079364,0.013333333333333334,0.03333333333333333,0.0,,,,
mtDNA,2,E5 -1500 to -1001 CE-axis,7,7,26,0.30158730158730157,0.17460317460317462,0.06349206349206349,0.08730158730158731,0.047619047619047616,0.07142857142857142,0.0,0.06349206349206349,0.023809523809523808,0.023809523809523808,0.031746031746031744,0.0,0.0,0.023809523809523808,0.08730158730158731,0.0,0.0,,,,
mtDNA,2,E6 -1000 to -501 CE-axis,8,8,21,0.14583333333333331,0.11458333333333333,0.0625,0.0625,0.08333333333333333,0.0625,0.0625,0.0625,0.07291666666666666,0.1875,0.0,0.041666666666666664,0.041666666666666664,0.0,0.0,0.0,0.0,,,,
mtDNA,2,E7 -500 to -1 CE-axis,12,12,57,0.2976657329598506,0.11351540616246499,0.06337535014005602,0.03273809523809524,0.05416666666666667,0.0494047619047619,0.15351307189542482,0.032679738562091505,0.0861111111111111,0.05555555555555555,0.0,0.014705882352941178,0.0,0.04656862745098039,0.0,0.0,0.0,,,,
mtDNA,2,E8 0 to 499 CE-axis,10,10,50,0.1721067821067821,0.12555555555555556,0.014285714285714285,0.02857142857142857,0.02909090909090909,0.12353535353535353,0.0740909090909091,0.023376623376623377,0.0994949494949495,0.06428571428571428,0.0,0.01818181818181818,0.06909090909090909,0.075,0.01111111111111111,0.061111111111111116,0.01111111111111111,,,,
mtDNA,2,E9 500 to 999 CE-axis,5,5,13,0.0,0.1,0.1,0.0,0.04,0.1,0.1,0.0,0.12,0.0,0.0,0.1,0.0,0.0,0.0,0.04,0.3,,,,
mtDNA,2,E10 1000 to 1499 CE-axis,3,3,9,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.1111111111111111,0.08333333333333333,0.0,0.0,0.08333333333333333,0.0,,,,
Y,1,E1 -3500 to -3001 CE-axis,5,5,16,,,,,0.5599999999999999,0.0,,,,,0.32,0.02,,,0.1,,,0.0,0.0,0.0,0.0
Y,1,E2 -3000 to -2501 CE-axis,2,2,6,,,,,0.0,0.0,,,,,0.7,0.0,,,0.0,,,0.3,0.0,0.0,0.0
Y,1,E3 -2500 to -2001 CE-axis,7,7,17,,,,,0.05714285714285715,0.14285714285714285,,,,,0.15714285714285717,0.028571428571428574,,,0.2857142857142857,,,0.14285714285714285,0.04285714285714286,0.14285714285714285,0.0
Y,1,E4 -2000 to -1501 CE-axis,18,18,38,,,,,0.08994708994708994,0.0,,,,,0.7288359788359788,0.03571428571428571,,,0.0,,,0.09126984126984126,0.0,0.027777777777777776,0.026455026455026454
Y,1,E5 -1500 to -1001 CE-axis,8,8,20,,,,,0.1375,0.0,,,,,0.7916666666666667,0.025,,,0.0,,,0.020833333333333332,0.025,0.0,0.0
Y,1,E6 -1000 to -501 CE-axis,21,21,24,,,,,0.09523809523809523,0.011904761904761904,,,,,0.7023809523809523,0.0,,,0.0,,,0.14285714285714285,0.0,0.047619047619047616,0.0
Y,1,E7 -500 to -1 CE-axis,24,24,43,,,,,0.08333333333333333,0.041666666666666664,,,,,0.5152777777777777,0.03472222222222222,,,0.029166666666666664,,,0.19583333333333333,0.09166666666666667,0.0,0.008333333333333333
Y,1,E8 0 to 499 CE-axis,20,20,43,,,,,0.026666666666666665,0.016666666666666666,,,,,0.47416666666666674,0.11000000000000001,,,0.05,,,0.23166666666666663,0.025,0.030833333333333334,0.034999999999999996
Y,1,E9 500 to 999 CE-axis,10,10,15,,,,,0.325,0.1,,,,,0.45,0.125,,,0.0,,,0.0,0.0,0.0,0.0
Y,1,E10 1000 to 1499 CE-axis,6,6,7,,,,,0.16666666666666666,0.4166666666666667,,,,,0.08333333333333333,0.16666666666666666,,,0.0,,,0.16666666666666666,0.0,0.0,0.0
Y,2,E1 -3500 to -3001 CE-axis,3,3,14,,,,,0.26666666666666666,0.0,,,,,0.5333333333333333,0.03333333333333333,,,0.16666666666666666,,,0.0,0.0,0.0,0.0
Y,2,E2 -3000 to -2501 CE-axis,1,1,5,,,,,0.0,0.0,,,,,0.4,0.0,,,0.0,,,0.6,0.0,0.0,0.0
Y,2,E3 -2500 to -2001 CE-axis,2,2,12,,,,,0.2,0.0,,,,,0.05,0.1,,,0.5,,,0.0,0.15,0.0,0.0
Y,2,E4 -2000 to -1501 CE-axis,10,10,30,,,,,0.06190476190476191,0.0,,,,,0.7119047619047619,0.06428571428571428,,,0.0,,,0.06428571428571428,0.0,0.05,0.047619047619047616
Y,2,E5 -1500 to -1001 CE-axis,5,5,17,,,,,0.22000000000000003,0.0,,,,,0.6666666666666667,0.04,,,0.0,,,0.03333333333333333,0.04,0.0,0.0
Y,2,E6 -1000 to -501 CE-axis,1,1,4,,,,,0.0,0.25,,,,,0.75,0.0,,,0.0,,,0.0,0.0,0.0,0.0
Y,2,E7 -500 to -1 CE-axis,8,8,27,,,,,0.125,0.0,,,,,0.5458333333333334,0.10416666666666666,,,0.0875,,,0.0875,0.025,0.0,0.025
Y,2,E8 0 to 499 CE-axis,8,8,31,,,,,0.06666666666666667,0.041666666666666664,,,,,0.3104166666666667,0.025,,,0.0,,,0.32916666666666666,0.0625,0.07708333333333334,0.0875
Y,2,E9 500 to 999 CE-axis,3,3,8,,,,,0.4166666666666667,0.0,,,,,0.5,0.08333333333333333,,,0.0,,,0.0,0.0,0.0,0.0
Y,2,E10 1000 to 1499 CE-axis,1,1,2,,,,,0.0,0.5,,,,,0.5,0.0,,,0.0,,,0.0,0.0,0.0,0.0
